Tipo;Rank;Country;Documents;Citable documents;Citations;Self-citations;Citations per document;H index;%GDP;# Inv.Million;GDP;Pop;GDP capita;$ CyT;Inv. Totales;Doc/Inv;Doc/popx106;Doc/GDP;S CyT/doc;;;;;;;;;;;
A;26;Finland;334763;311398;7553739;1078823;22,56;609;2,75;6525;252301837573;5511371;45778;6938300533,2575;35961,695775;8,65915784250861;56501,0049223687;1,23422803018587E-06;22281,1338969984;;;;;;;;;;;
A;27;Czech Republic;326336;313365;3681392;798131;11,28;427;1,68;3519;215913545038;10641034;20291;3627347556,6384;37445,798646;8,36849556775241;29448,7359029207;1,45134479610739E-06;11575,4712767488;;;;;;;;;;;
A;29;Greece;315659;286922;5158164;756973;16,34;28;1,01;2629;203085551429;10569450;19214;2051164069,4329;27787,08405;10,3257326131707;27146,3510400257;1,41281345709278E-06;7148,85602858233;;;;;;;;;;;
A;30;Norway;312012;280277;6477670;943274;20,76;17;2,03;6073;399488897844;5296326;75428;8109624626,2332;32164,587798;8,71383776966754;52919,136775191;7,01588959074021E-07;28934,3207834863;;;;;;;;;;;
A;38;Ireland;205128;180977;4033667;428413;19,66;92;1,18;5563;331430014003;4753279;69727;3910874165,2354;26442,491077;6,8441736246785;38074,1378740865;5,46048916373524E-07;21609,7855817888;;;;;;;;;;;
A;40;Romania;198390;190878;1411797;317095;7,12;52;0,48;912;211883923504;19653969;10781;1017042832,8192;17924,419728;10,6490476621582;9711,93146788824;9,00861173624608E-07;5328,23496065131;;;;;;;;;;;
A;41;Hungary;192565;181716;2952020;438879;15,33;517;1,21;2646;139761138103;9729823;14364;1691109771,0463;25745,111658;7,05827197076979;18676,1876346569;1,30018975565354E-06;9306,33390040668;;;;;;;;;;;
A;42;Ukraine;189265;185052;1197463;323584;6,33;169;0,45;1119;112154185121;44487709;2521;504693833,0445;49781,746371;3,71726613648493;4159,62080672664;1,64997855229702E-06;2727,30817848226;;;;;;;;;;;
A;47;Slovakia;111356;107531;1084641;205831;9,74;535;0,79;2599;95617670260;5447900;17551;755379595,054;14159,0921;7,59448411243826;19738,064208227;1,12459339061081E-06;7024,76118564879;;;;;;;;;;;
A;49;Croatia;104865;99806;956729;171765;9,12;259;0,85;1793;55213087271;4182857;132;469311241,8035;7499,862601;13,307710462148;23860,7248586313;1,80765113731327E-06;4702,23475345671;;;;;;;;;;;
A;51;Slovenia;93894;89008;1244205;196354;13,25;263;2;3899;48769655479;2076394;23488;975393109,58;8095,860206;10,9942609846492;42866,6235791473;1,82506927977637E-06;10958,4881087093;;;;;;;;;;;
A;52;Serbia;91280;86176;781607;152621;8,56;120;0,93;2079;41431648801;8829628;4692;385314333,8493;18356,796612;4,69450099717649;9759,86757312992;2,07995584278847E-06;4471,24876821041;;;;;;;;;;;
A;55;Bulgaria;77335;74199;837820;118827;10,83;240;0,78;2244;58220973783;7102444;8197;454123595,5074;15937,884336;4,65551126082661;10446,9672692949;1,27443763267432E-06;6120,34657485141;;;;;;;;;;;
A;60;Lithuania;51464;49688;500606;94305;9,73;74;0,85;2932;47544459559;2845414;16709;404127906,2515;8342,753848;5,95582716514064;17462,4852481924;1,04508496806741E-06;8133,30997930084;;;;;;;;;;;
A;64;Estonia;39907;37365;699333;102564;17,52;255;1,28;3305;26611651599;1319390;2017;340629140,4672;4360,58395;8,56880647831582;28319,9054108338;1,40408421705792E-06;9116,26229003613;;;;;;;;;;;
A;66;Belarus;38483;37616;338103;63255;8,79;172;0,59;;54456465473;9450231;5762;321293146,2907;;;3980,43180108507;6,90753607919162E-07;8541,39584992291;;;;;;;;;;;
A;78;Iceland;21875;19711;619911;54047;28,34;419;2,08;6635;24488467010;334393;73233;509360113,808;2218,697555;8,88404097961878;58945,6118997706;8,04909510748505E-07;25841,414124499;;;;;;;;;;;
A;82;Georgia;19510;17724;276915;31720;14,19;119;0,3;1337;15081338092;4008716;3762;45244014,276;5359,653292;3,30693032447741;4421,3658438263;1,17522728367199E-06;2552,69771360867;;;;;;;;;;;
A;94;Bosnia and Herzegovina;12226;11504;70210;7965;5,74;91;0,2;464;18054854789;3351525;5387;36109709,578;1555,1076;7,39755885702057;3432,46730965754;6,37169345001261E-07;3138,88296053547;;;;;;;;;;;
B;10;Spain;1376358;1262302;23570723;5251983;17,13;624;1,19;2732;1314314164402;46647428;28175;15640338556,3838;127440,773296;9,90500894927966;27060,484449432;9,60426383728684E-07;12390,3301716893;;;;;;;;;;;
B;15;Brazil;938352;888530;10225275;3363421;10,9;530;1,27;881;2053594877013;207833823;9881;26080654938,0651;183101,598063;4,85266108761259;4275,19441818669;4,3267053786791E-07;29352,587912693;;;;;;;;;;;
B;28;Mexico;318095;298719;3760403;737110;11,82;13;0,49;244;1150887823404;124777324;9224;5639350334,6796;30445,667056;9,81154393663156;2394,0167205381;2,59555270223013E-07;18878,4454108363;;;;;;;;;;Doc/M Pop - %GDP;
B;31;Portugal;303053;278728;4535588;804103;14,97;519;1,27;3929;219308128887;10288527;21316;2785213236,8649;40423,622583;6,89517619129014;27091,147255579;1,27094240151771E-06;9992,58501788446;;Doc/M Pop - %GDP;;;;;;;;;
